rank,story,url,index,pos,neg,neu,comp,source,date,hour
8,Tories preach baby-making and the facts of life – why does it always come back to sex with these oddballs?,https://www.theguardian.com/politics/2023/may/15/tories-preach-baby-making-and-the-facts-of-life-why-does-it-always-come-back-to-sex-with-these-oddballs,7,0.084,0.123,0.793,-0.9948,Guardian,2023-05-15,20
9,UK government wins right to take back control of military homes worth £8bn ,https://www.theguardian.com/business/2023/may/15/uk-government-military-homes-guy-hands-annington-property,8,0.094,0.037,0.868,0.9796,Guardian,2023-05-15,20
10,Awkward? Phillip Schofield and Holly Willoughby ignore reports of rift on This Morning,https://www.theguardian.com/tv-and-radio/2023/may/15/awkward-phillip-schofield-and-holly-willoughby-ignore-reports-of-rift-on-this-morning,9,0.038,0.107,0.855,-0.9835,Guardian,2023-05-15,20
1,Kyiv hit in 'exceptionally dense' missile attack,https://www.bbc.co.uk/news/world-europe-65606385,0,0.035,0.135,0.829,-0.9929,BBC,2023-05-16,8
2,S Korean football player detained in China- reports,https://www.bbc.co.uk/news/world-asia-china-65606636,1,0.052,0.097,0.851,-0.953,BBC,2023-05-16,8
3,'I don't plan to wait 25 years to see my son free',https://www.bbc.co.uk/news/world-europe-65601750,2,0.082,0.121,0.796,-0.9822,BBC,2023-05-16,8
4,Rudy Giuliani sued over sexual harassment claims,https://www.bbc.co.uk/news/world-us-canada-65606131,3,0.039,0.141,0.821,-0.985,BBC,2023-05-16,8
5,Tory donor's link to massive money laundering probe,https://www.bbc.co.uk/news/uk-61264369,4,0.104,0.051,0.845,0.9963,BBC,2023-05-16,8
6,Musk documents subpoenaed in Epstein lawsuit,https://www.bbc.co.uk/news/business-65606194,5,0.085,0.066,0.849,0.7357,BBC,2023-05-16,8
7,Report criticises FBI's Trump-Russia inquiry,https://www.bbc.co.uk/news/world-us-canada-65602909,6,0.041,0.071,0.888,-0.959,BBC,2023-05-16,8
8,Buzzard attack leaves runner with holes in his head,https://www.bbc.co.uk/news/uk-scotland-tayside-central-65601462,7,0.045,0.084,0.871,-0.9262,BBC,2023-05-16,8
9,Dozens held in India after Islamic State film row,https://www.bbc.co.uk/news/world-asia-india-65606602,8,0.074,0.14,0.787,-0.9769,BBC,2023-05-16,8
10,Congressional staffers attacked with baseball bat,https://www.bbc.co.uk/news/world-us-canada-65602907,9,0.042,0.137,0.822,-0.9933,BBC,2023-05-16,8
